district,organic_carbon,nitrogen_depletion_rate,rainfall_variability,crop_diversity_index,irrigation_stress,fertilizer_load,year
Latur,0.28,91.3,0.54,0.15,0.87,159.2,2023
Osmanabad,0.3,84.7,0.51,0.16,0.85,161.8,2023
Beed,0.31,82.3,0.52,0.17,0.84,172.6,2023
Yavatmal,0.34,73.8,0.46,0.21,0.74,196.2,2023
Akola,0.38,62.1,0.41,0.22,0.68,221.3,2023
Nagpur,0.52,44.7,0.31,0.42,0.51,187.6,2023
Gadchiroli,1.12,18.3,0.19,0.74,0.21,98.7,2023
Nashik,0.48,46.1,0.33,0.44,0.62,212.3,2023
Pune,0.54,42.8,0.29,0.46,0.54,224.7,2023
Solapur,0.27,94.2,0.56,0.14,0.89,156.3,2023
Kolhapur,0.78,28.4,0.18,0.62,0.38,168.7,2023
Sindhudurg,0.88,22.8,0.16,0.69,0.26,108.4,2023
